GeneID,padj,pvalue,lfcSE,stat,log2FoldChange,baseMean,Symbol,Description
26508,2.79e-15,1.49e-18,0.1771,8.790531,1.5566498,348.04,HEYL,hes related family bHLH transcription factor with YRPW motif like
7025,2.12e-14,1.35e-17,0.1861,8.53911,1.5890682,426.12,NR2F1,nuclear receptor subfamily 2 group F member 1
8862,5.34e-14,3.98e-17,0.229,8.413399,1.9269077,438.23,APLN,apelin
8470,3.55e-13,3.22e-16,0.1322,8.164804,1.0792573,704.43,SORBS2,sorbin and SH3 domain containing 2
7225,6.4e-12,6.48e-15,0.1597,7.794272,1.2444636,329.26,TRPC6,transient receptor potential cation channel subfamily C member 6
1464,5.05e-11,6.19e-14,0.1839,7.504045,1.3799943,967.18,CSPG4,chondroitin sulfate proteoglycan 4
84245,7.16e-10,1.03e-12,0.1825,7.126056,1.3001854,255.16,MRI1,methylthioribose-1-phosphate isomerase 1
56999,1.13e-09,1.87e-12,0.1732,7.044003,1.2199562,482.61,ADAMTS9,ADAM metallopeptidase with thrombospondin type 1 motif 9
947,1.41e-09,2.57e-12,0.1706,6.999651,1.1941247,1549.43,CD34,CD34 molecule
4337,1.41e-09,2.53e-12,0.1713,7.00143,1.199685,291.41,MOCS1,molybdenum cofactor synthesis 1
51285,1.41e-09,2.63e-12,0.2134,6.995948,1.4932428,100.16,RASL12,RAS like family 12
109,1.79e-09,3.69e-12,0.1784,6.948599,1.239471,601.55,ADCY3,adenylate cyclase 3
101929272,5.13e-09,1.18e-11,0.2174,6.78256,1.4746646,93.6,DTNB-AS1,DTNB antisense RNA 1
196740,5.13e-09,1.2e-11,0.1519,6.779841,1.0297975,194.49,VSTM4,V-set and transmembrane domain containing 4
57210,5.2e-09,1.25e-11,0.2128,6.77463,1.4414034,505.34,SLC45A4,solute carrier family 45 member 4
6581,1.3e-08,3.65e-11,0.1955,6.617575,1.2937898,358.07,SLC22A3,solute carrier family 22 member 3
10319,1.54e-08,4.61e-11,0.2048,6.583056,1.3482632,1634.82,LAMC3,laminin subunit gamma 3
359845,1.54e-08,4.59e-11,0.2188,6.583578,1.4405975,238.43,RFLNB,refilin B
25960,1.63e-08,5.12e-11,0.2023,6.567301,1.328454,879.65,ADGRA2,adhesion G protein-coupled receptor A2
57188,1.98e-08,6.53e-11,0.2079,6.531106,1.3576023,308.72,ADAMTSL3,ADAMTS like 3
10418,2.17e-08,7.39e-11,0.1655,6.512565,1.0778339,340.64,SPON1,spondin 1
255480,4.09e-08,1.5e-10,0.1959,6.405139,1.2548131,105.29,TBX5-AS1,TBX5 antisense RNA 1
57482,5.94e-08,2.34e-10,0.2754,6.337009,1.7451782,96.48,CRACD,capping protein inhibiting regulator of actin dynamics
84632,7.29e-08,3.05e-10,0.2016,6.296233,1.2696055,265.26,AFAP1L2,actin filament associated protein 1 like 2
10052,7.29e-08,3.13e-10,0.1909,6.292384,1.2011459,744.1,GJC1,gap junction protein gamma 1
50509,7.29e-08,3.15e-10,0.2911,6.29141,1.8314975,693.77,COL5A3,collagen type V alpha 3 chain
3908,9.42e-08,4.27e-10,0.1894,6.243948,1.1827789,3603.49,LAMA2,laminin subunit alpha 2
79834,1.14e-07,5.24e-10,0.1678,6.211847,1.0421353,1012.32,PEAK1,pseudopodium enriched atypical kinase 1
730,1.65e-07,8.16e-10,0.2925,6.141783,1.7966341,2112.2,C7,complement C7
4804,3.2e-07,1.71e-09,0.3032,6.023407,1.8264002,151.68,NGFR,nerve growth factor receptor
4137,3.39e-07,1.84e-09,0.2639,6.011132,1.5860637,155.84,MAPT,microtubule associated protein tau
105375574,3.68e-07,2.04e-09,0.2375,5.994519,1.4234885,74.28,LOC105375574,
2242,4.99e-07,2.84e-09,0.1804,5.940331,1.0718887,197.71,FES,"FES proto-oncogene, tyrosine kinase"
54538,6.36e-07,3.7e-09,0.1786,5.897292,1.0531759,479.29,ROBO4,roundabout guidance receptor 4
1827,7.2e-07,4.26e-09,0.1837,5.87384,1.0790084,446.52,RCAN1,regulator of calcineurin 1
9365,1.06e-06,6.89e-09,0.2583,5.793537,1.4964095,388.34,KL,klotho
2983,1.07e-06,7.14e-09,0.1897,5.787613,1.0981237,289.87,GUCY1B1,guanylate cyclase 1 soluble subunit beta 1
133584,1.12e-06,7.53e-09,0.2013,5.778721,1.1631487,324.04,EGFLAM,"EGF like, fibronectin type III and laminin G domains"
